"x","Freq"
"print",16792
"use",11073
"can",8948
"printer",8369
"will",7183
"filament",6265
"good",5715
"3d",5383
"part",4948
"make",4860
"get",4714
"layer",4640
"may",4557
"one",4305
"need",4114
"bed",4049
"like",3975
"material",3896
"also",3858
"heat",3765
"work",3659
"model",3554
"nozzle",3466
"just",3419
"temperature",3300
"try",3190
"extruder",3131
"do",3053
"time",2950
"pla",2884
"plastic",2841
"find",2808
"im",2754
"look",2691
"build",2649
"go",2469
"way",2575
"issue",2521
"high",2493
"motor",2438
"want",2417
"see",2382
"ab",2329
"first",1962
"much",2246
"set",2212
"little",2188
"problem",2166
"ive",2131
"design",2113
"know",2082
"speed",2055
"support",2023
"end",1998
"object",1968
"cool",1945
"small",1927
"wire",1905
"move",1881
"different",1874
"change",1586
"hot",1839
"question",1819
"even",1797
"file",1788
"help",1774
"sure",1751
"point",1734
"power",1727
"think",1716
"start",1690
"surface",1674
"two",1665
"take",1650
"machine",1644
"give",1626
"thing",1619
"however",1609
"enough",1591
"2",1581
"low",1568
"around",1554
"option",1544
"run",1534
"cause",1518
"easy",1504
"software",1491
"process",1480
"result",1465
"plate",1457
"something",1442
"allow",1432
"possible",1227
"extrusion",1410
"step",1399
"add",1385
"board",1376
"melt",1362
"without",1355
"come",1348
