"x","Freq"
"can",21403
"ai",19326
"use",15887
"human",13200
"learn",12345
"good",11682
"network",10957
"one",10353
"will",10018
"problem",9609
"like",9203
"intelligence",8900
"neural",8459
"system",8259
"may",7928
"algorithm",7742
"make",7469
"machine",7220
"example",7065
"train",6894
"work",6667
"way",6526
"datum",6423
"think",6301
"question",6212
"program",6092
"also",5978
"know",5863
"artificial",5782
"just",5669
"do",5610
"give",5504
"need",5379
"input",5295
"model",5245
"computer",5113
"see",5050
"function",5011
"time",4944
"language",4899
"image",4814
"get",4780
"possible",4725
"even",4671
"find",4590
"many",4547
"state",4516
"answer",4463
"mean",4412
"take",4333
"output",4292
"understand",4247
"base",4193
"want",4137
"test",4058
"process",4011
"approach",3949
"car",3922
"set",3880
"different",3822
"go",3786
"say",3766
"much",3722
"search",3675
"deep",3632
"game",3590
"numb",3568
"thing",3540
"try",3485
"able",3400
"create",3375
"people",3337
"solve",3300
"task",3250
"result",3191
"2",3150
"brain",3125
"first",3092
"layer",3068
"case",3037
"look",2995
"seem",2957
"however",2941
"im",2897
"1",2874
"general",2853
"method",2820
"two",2787
"build",2763
"research",2735
"neuron",2720
"something",2702
"point",2683
"solution",2666
"feature",2646
"still",2616
"agent",2589
"value",2569
"reason",2546
"new",2516
