"x","Freq"
"anime",14256
"manga",13083
"use",12277
"one",11313
"series",10518
"can",10049
"also",9781
"see",9432
"episode",9102
"character",8865
"know",8522
"make",8176
"like",7910
"time",7645
"good",7370
"show",7102
"just",6805
"first",6610
"power",6389
"say",6218
"get",6097
"however",5991
"wikipedia",5868
"end",5745
"2",5602
"world",5507
"seem",5417
"think",5302
"story",5200
"naruto",5114
"even",5001
"people",4865
"may",4802
"do",4717
"take",4648
"go",4567
"two",4512
"different",4449
"will",4382
"japanese",4305
"question",4238
"mean",4159
"chakra",4107
"name",4068
"way",4013
"since",3960
"technique",3917
"much",3866
"reason",3832
"movie",3792
"original",3745
"produce",3694
"find",3658
"novel",3624
"information",3583
"really",3554
"start",3528
"come",3499
"thing",3467
"become",3446
"give",3419
"though",3386
"work",3359
"game",3333
"release",3305
"write",3277
"body",3234
"create",3216
"example",3182
"look",3162
"still",3149
"fight",3132
"part",3112
"happen",3096
"follow",3064
"base",3054
"able",3018
"page",3006
"something",2987
"3",2964
"case",2945
"die",2925
"soul",2901
"need",2889
"tv",2869
"another",2853
"chapter",2825
"season",2812
"want",2796
"form",2779
"life",2759
"ability",2738
"human",2724
"lot",2696
"many",2676
"state",2664
"direct",2640
"include",2633
"doesnt",2616
"probably",2594
