"x","Freq"
"use",62011
"arduino",47056
"can",37492
"pin",31394
"code",26735
"will",24457
"work",22327
"need",20735
"board",19699
"one",18479
"get",17458
"time",16611
"like",16129
"library",15402
"make",15001
"connect",14596
"serial",14285
"power",14040
"datum",13760
"good",13507
"just",13251
"also",12976
"value",12750
"may",12510
"program",12327
"2",12165
"do",11952
"want",11741
"way",11502
"im",11293
"shield",11084
"function",10867
"try",10642
"run",10456
"read",10312
"sensor",10077
"see",9866
"output",9735
"uno",9639
"find",9461
"usb",9337
"know",9196
"voltage",9060
"go",8930
"change",8793
"sketch",8667
"problem",8545
"example",8406
"lead",8269
"control",8142
"send",8019
"set",7883
"port",7773
"call",7652
"device",7555
"look",7452
"two",7361
"current",7280
"take",7173
"project",7094
"1",7012
"much",6935
"input",6873
"high",6807
"possible",6744
"interrupt",6672
"motor",6616
"however",6567
"write",6500
"thing",6437
"first",6367
"ive",6315
"low",6259
"signal",6200
"mean",6149
"question",6093
"add",6053
"follow",6004
"loop",5963
"chip",5932
"wire",5899
"file",5846
"different",5798
"simple",5746
"5v",5704
"something",5649
"upload",5602
"ide",5564
"seem",5529
"start",5493
"even",5456
"variable",5408
"button",5370
"note",5336
"turn",5307
"byte",5266
"check",5231
"think",5200
"source",5169
"give",5117
