"x","Freq"
"star",26611
"can",20624
"earth",18350
"planet",16786
"will",15766
"time",14888
"light",13974
"one",13373
"galaxy",13012
"see",12719
"sun",12141
"orbit",11618
"system",11142
"universe",10716
"object",10277
"moon",9958
"good",9623
"mass",9302
"use",9112
"black",8951
"solar",8760
"year",8594
"also",8441
"hole",8304
"like",8134
"know",7978
"may",7797
"point",7691
"distance",7502
"around",7413
"get",7264
"look",7154
"space",7035
"way",6929
"form",6833
"energy",6725
"large",6645
"make",6574
"small",6493
"just",6400
"question",6295
"speed",6212
"matter",6158
"telescope",6075
"move",5936
"much",5858
"find",5770
"even",5704
"gravity",5647
"away",5582
"close",5501
"need",5421
"take",5359
"answer",5292
"give",5228
"mean",5172
"two",5085
"observe",5030
"far",4970
"gravitational",4920
"effect",4841
"surface",4811
"do",4747
"due",4693
"think",4657
"temperature",4604
"body",4550
"sky",4513
"say",4465
"big",4423
"high",4377
"image",4349
"since",4317
"dark",4274
"go",4233
"particle",4209
"long",4174
"now",4117
"us",4071
"enough",4041
"source",4007
"atmosphere",3962
"center",3932
"however",3902
"many",3868
"measure",3846
"1",3827
"2",3806
"radiation",3779
"cause",3747
"different",3716
"gas",3704
"still",3677
"come",3646
"first",3613
"possible",3588
"little",3563
"velocity",3533
"change",3511
"happen",3486
