"x","Freq"
"aircraft",59285
"can",42019
"flight",39057
"use",36080
"pilot",34001
"will",31447
"fly",28244
"engine",26209
"good",24747
"get",23611
"may",22714
"one",21737
"land",21012
"time",20246
"require",19748
"also",19204
"need",18679
"go",18289
"like",17901
"make",17455
"air",17044
"approach",16628
"airport",16277
"runway",15893
"airplane",15475
"do",15116
"take",14800
"speed",14481
"faa",14132
"little",13848
"just",13636
"youre",13432
"wing",13238
"control",13030
"high",12847
"altitude",12695
"say",12500
"know",12277
"part",12130
"see",11939
"plane",11757
"even",11622
"question",11425
"fuel",11295
"im",11166
"grind",11027
"system",10886
"way",10760
"find",10632
"airspace",10538
"train",10434
"want",10340
"much",10228
"give",10137
"requirement",10038
"turn",9946
"long",9844
"operate",9763
"hour",9666
"information",9562
"must",9438
"rate",9347
"case",9251
"thing",9159
"atc",9071
"us",8982
"look",8892
"far",8810
"example",8721
"low",8655
"point",8552
"takeoff",8476
"two",8383
"aviation",8299
"operation",8208
"allow",8108
"include",8033
"work",7984
"2",7904
"area",7837
"change",7783
"follow",7717
"answer",7668
"provide",7618
"mean",7559
"procedure",7503
"design",7430
"probably",7376
"still",7331
"passenger",7280
"plan",7226
"around",7178
"call",7135
"think",7081
"certificate",7036
"lot",6988
"type",6947
"different",6908
"condition",6856
"specific",6816
