"x","Freq"
"video",22086
"use",17467
"can",13858
"good",10065
"will",8482
"file",7435
"need",6787
"like",6522
"camera",6326
"get",6208
"one",6051
"work",5935
"make",5715
"want",5534
"im",5354
"effect",5250
"record",5125
"audio",4955
"just",4749
"frame",4618
"do",4530
"edit",4438
"look",4376
"go",4268
"also",4186
"way",4097
"time",4005
"may",3926
"try",3814
"software",3736
"format",3659
"quality",3587
"clip",3476
"find",3399
"know",3327
"see",3301
"light",3249
"image",3178
"shoot",3088
"2",3023
"problem",2946
"ive",2882
"play",2841
"pro",2756
"project",2707
"set",2685
"sound",2653
"create",2610
"thing",2555
"think",2532
"take",2492
"cut",2444
"two",2422
"premiere",2374
"footage",2337
"track",2317
"even",2294
"something",2268
"really",2249
"question",2227
"screen",2211
"window",2192
"sure",2180
"able",2158
"output",2138
"add",2125
"much",2113
"different",2090
"option",2082
"change",2062
"help",2049
"size",2031
"movie",2020
"start",2011
"without",2002
"many",1990
"say",1972
"still",1955
"color",1946
"final",1936
"now",1925
"capture",1911
"stream",1903
"first",1896
"little",1890
"lot",1877
"high",1870
"film",1856
"seem",1838
"example",1828
"give",1819
"ffmpeg",1802
"computer",1796
"rate",1785
"free",1776
"right",1757
"possible",1743
"tool",1731
"encode",1721
"new",1710
