"x","Freq"
"beer",6452
"can",2694
"good",2237
"drink",1910
"like",1872
"make",1693
"use",1580
"bottle",1428
"will",1361
"taste",1293
"one",1216
"alcohol",1206
"wine",1139
"get",996
"brew",976
"may",920
"flavor",903
"also",890
"ale",842
"hop",826
"know",800
"just",798
"do",769
"go",764
"yeast",738
"find",723
"brewery",702
"style",688
"much",683
"different",674
"glass",654
"time",650
"add",635
"try",622
"little",614
"malt",573
"say",565
"really",563
"year",549
"temperature",547
"see",535
"think",525
"high",521
"stout",508
"want",504
"even",497
"way",493
"people",489
"sugar",487
"age",481
"come",477
"ive",472
"serve",467
"water",466
"lager",457
"light",456
"many",453
"give",446
"long",442
"process",436
"produce",429
"im",423
"thing",421
"still",418
"lot",414
"take",408
"keep",406
"brewer",401
"something",400
"question",395
"store",389
"probably",387
"type",387
"look",375
"however",372
"difference",367
"2",362
"example",362
"ipa",359
"first",357
"dark",355
"ingredient",351
"strong",346
"abv",343
"seem",342
"two",341
"mean",339
"though",332
"fermentation",327
"since",326
"answer",325
"need",321
"around",318
"small",315
"start",313
"usually",310
"cause",307
"great",303
"often",301
"old",298
