"x","Freq"
"bike",73329
"can",43012
"get",38094
"ride",35980
"good",34343
"use",33050
"will",30713
"one",28171
"make",26337
"tire",25034
"go",23995
"just",23068
"like",22305
"also",21506
"may",20801
"need",20294
"do",19694
"chain",19191
"road",18547
"wheel",17950
"brake",17182
"time",16591
"look",16141
"work",15682
"im",15295
"take",15057
"pedal",14873
"much",14576
"find",14306
"ive",14030
"back",13788
"see",13504
"little",13300
"gear",13111
"light",12916
"way",12691
"cycle",12520
"long",12304
"keep",12121
"front",11949
"tube",11786
"want",11561
"frame",11357
"think",11189
"really",11017
"thing",10890
"know",10709
"try",10501
"car",10389
"youre",10227
"lot",10087
"bicycle",9954
"helmet",9836
"wear",9735
"around",9594
"two",9479
"probably",9377
"rear",9263
"easy",9160
"new",9083
"rim",8943
"even",8860
"put",8791
"give",8698
"enough",8605
"bite",8524
"speed",8426
"stop",8355
"fit",8269
"small",8211
"cyclist",8149
"sure",8064
"help",7989
"come",7931
"year",7888
"buy",7822
"part",7783
"something",7723
"rack",7670
"high",7622
"clean",7557
"problem",7513
"right",7462
"low",7416
"hard",7367
"leave",7311
"bar",7276
"pressure",7233
"change",7200
"turn",7144
"2",7111
"often",7068
"big",7020
"point",6996
"weight",6971
"say",6927
"start",6883
"different",6843
"end",6815
"first",6779
