"x","Freq"
"use",10493
"file",7428
"can",6842
"sequence",5190
"read",4934
"datum",4302
"gene",3972
"one",3419
"like",3364
"good",3173
"will",3103
"find",2844
"get",2686
"genome",2589
"want",2467
"also",2408
"look",2318
"work",2278
"sample",2224
"may",2181
"tool",2143
"need",2115
"example",2081
"do",2057
"see",2031
"give",2001
"different",1966
"know",1955
"try",1932
"id",1890
"way",1871
"format",1841
"line",1806
"base",1760
"just",1742
"im",1729
"run",1706
"reference",1690
"map",1665
"set",1628
"make",1604
"analysis",1585
"follow",1549
"result",1536
"numb",1520
"two",1513
"alignment",1490
"output",1471
"protein",1462
"database",1439
"2",1419
"1",1389
"fasta",1377
"code",1358
"question",1321
"first",1302
"method",1280
"value",1268
"r",1253
"case",1233
"however",1216
"count",1206
"length",1199
"information",1195
"call",1189
"name",1164
"eg",1154
"list",1145
"take",1125
"variant",1118
"package",1110
"time",1092
"answer",1083
"cell",1078
"think",1072
"transcript",1064
"version",1058
"seem",1044
"start",1042
"bam",1028
"region",1015
"script",1003
"expression",995
"go",982
"many",978
"command",967
"fastq",960
"model",949
"solution",946
"something",935
"annotation",924
"error",920
"include",915
"test",906
"problem",899
"write",897
"since",892
"long",883
"contain",879
"provide",871
