"x","Freq"
"can",39576
"cell",31557
"use",24780
"one",22266
"gene",20045
"also",18544
"may",17466
"dna",16986
"will",16410
"protein",15730
"good",15311
"question",14980
"human",14587
"like",14271
"find",13912
"know",13525
"different",13212
"time",12926
"sequence",12619
"see",12292
"plant",12037
"2",11711
"get",11473
"make",11173
"species",10899
"just",10712
"example",10536
"many",10329
"organism",10155
"answer",9960
"effect",9783
"much",9588
"seem",9414
"genome",9246
"study",9111
"do",9005
"way",8892
"think",8779
"body",8704
"look",8606
"change",8473
"however",8394
"im",8284
"two",8172
"1",8095
"give",7998
"cause",7924
"structure",7852
"paper",7763
"take",7682
"et",7640
"al",7556
"system",7465
"high",7402
"work",7338
"acid",7281
"even",7193
"say",7130
"process",7062
"need",7002
"little",6943
"large",6877
"evolution",6800
"result",6746
"form",6688
"mechanism",6648
"type",6573
"case",6536
"increase",6488
"first",6425
"animal",6371
"biology",6319
"long",6258
"mean",6202
"blood",6164
"read",6122
"base",6074
"possible",6029
"bacterium",5988
"small",5935
"common",5899
"go",5861
"brain",5829
"population",5800
"genetic",5766
"rna",5736
"show",5698
"thing",5652
"produce",5614
"point",5585
"function",5553
"information",5532
"include",5497
"part",5471
"bind",5280
"come",5408
"eg",5383
"chromosome",5353
"datum",5318
"grow",5294
