"x","Freq"
"bitcoin",61876
"transaction",49974
"can",45978
"use",43263
"block",40127
"will",36262
"bitcoins",32556
"mine",30104
"one",27752
"address",24212
"client",20665
"make",19199
"network",18052
"coin",17358
"miner",16224
"good",15767
"wallet",15351
"get",15019
"key",14629
"time",14345
"need",14146
"pool",13918
"like",13632
"people",13402
"just",13160
"currency",12963
"work",12790
"hash",12618
"may",12417
"way",12246
"do",12104
"also",11907
"new",11758
"want",11612
"exchange",11442
"know",11246
"value",11043
"find",10871
"send",10699
"money",10545
"see",10374
"numb",10194
"fee",10004
"chain",9832
"go",9630
"possible",9491
"price",9372
"change",9216
"run",9073
"take",8899
"create",8770
"spend",8629
"even",8507
"give",8383
"user",8305
"system",8202
"service",8117
"attack",8041
"much",7931
"long",7849
"many",7775
"accept",7675
"power",7599
"account",7535
"example",7469
"question",7402
"btc",7343
"think",7283
"require",7233
"pay",7168
"problem",7100
"datum",7046
"include",6984
"private",6918
"amount",6857
"first",6806
"however",6759
"now",6704
"still",6637
"cost",6588
"little",6536
"every",6483
"allow",6424
"without",6373
"node",6305
"try",6244
"difficulty",6196
"per",6159
"2",6116
"1",6073
"since",6029
"code",5986
"order",5931
"payment",5890
"say",5841
"generate",5800
"file",5762
"im",5720
"buy",5679
"someone",5656
