"x","Freq"
"use",110581
"can",99004
"object",92651
"blender",73086
"render",57806
"will",54625
"select",51655
"make",49650
"mesh",48249
"one",47173
"way",46155
"set",45225
"add",44263
"file",43112
"image",42154
"want",41181
"like",40288
"work",39417
"get",38632
"good",37860
"create",37235
"texture",36419
"modifier",35896
"also",35216
"material",34400
"need",33706
"vertex",33032
"node",32211
"see",31470
"scene",31006
"view",30430
"change",29898
"model",29308
"mode",28887
"just",28470
"try",27906
"look",27424
"do",26921
"edit",26410
"may",25888
"edge",25443
"cycle",24920
"script",24388
"im",23817
"go",23387
"time",22877
"point",22485
"example",22047
"property",21672
"value",21319
"new",20950
"3d",20662
"curve",20385
"face",20139
"find",19872
"possible",19568
"python",19348
"light",19128
"press",18891
"camera",18651
"datum",18406
"frame",18182
"different",17947
"two",17750
"know",17539
"option",17360
"ctrl",17123
"map",16951
"move",16783
"result",16596
"now",16415
"animation",16259
"scale",16067
"link",15925
"shift",15764
"group",15645
"setting",15498
"shader",15330
"apply",15192
"however",15051
"2",14885
"color",14742
"enable",14635
"another",14483
"default",14372
"question",14239
"blend",14099
"line",13987
"save",13846
"1",13702
"follow",13581
"editor",13487
"first",13372
"give",13276
"type",13172
"user",13056
"bone",12955
"shape",12829
"part",12742
"panel",12651
