"x","Freq"
"game",52834
"card",35438
"play",31510
"player",29086
"can",27060
"good",23132
"one",21485
"get",19941
"rule",18574
"turn",16717
"use",15498
"will",14978
"make",14031
"go",13047
"like",12621
"do",12027
"just",11544
"point",11130
"two",10833
"time",10622
"take",10448
"also",10230
"2",10086
"first",9897
"may",9647
"buy",9475
"strategy",9333
"3",9107
"much",8921
"think",8775
"give",8567
"deck",8399
"people",8204
"start",8131
"want",7960
"little",7865
"way",7767
"need",7637
"lot",7534
"win",7385
"expansion",7274
"try",7121
"tile",7004
"find",6905
"hand",6801
"action",6702
"even",6638
"numb",6566
"know",6462
"board",6372
"set",6301
"many",6235
"1",6152
"really",6083
"new",6002
"end",5924
"city",5847
"im",5781
"ive",5715
"build",5651
"move",5591
"thing",5544
"4",5493
"see",5437
"work",5370
"draw",5321
"different",5260
"trade",5196
"long",5149
"say",5103
"youre",5055
"resource",5007
"place",4957
"opponent",4919
"add",4870
"5",4818
"look",4775
"another",4727
"fun",4679
"easy",4574
"group",4606
"score",4570
"great",4536
"piece",4491
"keep",4454
"question",4414
"still",4368
"always",4331
"allow",4293
"attack",4263
"come",4224
"6",3990
"big",4171
"three",4139
"seem",3896
"change",4070
"theres",4051
"base",4014
"choose",3975
"since",3939
