"x","Freq"
"lego",8373
"use",7065
"set",6274
"brick",5642
"can",5117
"part",4116
"one",3708
"make",3401
"good",3023
"build",2924
"will",2694
"also",2611
"get",2588
"like",2492
"piece",2445
"find",2383
"may",2205
"do",2127
"nxt",2048
"just",1969
"motor",1913
"look",1885
"see",1864
"need",1848
"work",1793
"want",1734
"model",1687
"time",1617
"stud",1570
"way",1514
"im",1499
"know",1494
"two",1458
"try",1404
"technic",1363
"2",1333
"example",1297
"go",1260
"new",1245
"small",1238
"element",1202
"1",1184
"sensor",1165
"box",1153
"different",1137
"think",1112
"program",1107
"much",1100
"come",1090
"buy",1078
"include",1060
"old",1041
"train",1034
"color",1023
"instruction",1008
"take",1001
"even",988
"ive",980
"large",969
"first",962
"question",957
"many",951
"seem",940
"plate",931
"design",929
"lot",911
"available",905
"power",898
"software",890
"long",884
"plastic",876
"bricklink",873
"however",864
"list",848
"mindstorms",844
"sell",836
"numb",832
"now",829
"add",826
"possible",823
"year",816
"probably",810
"track",807
"another",802
"sure",792
"point",789
"gear",784
"little",781
"problem",779
"x",770
"thing",765
"produce",763
"something",761
"store",757
"run",753
"answer",745
"system",743
"id",739
"doesnt",735
"block",731
