"x","Freq"
"one",31817
"buddha",24200
"can",21088
"buddhism",18786
"buddhist",17441
"good",16717
"practice",15867
"will",14997
"meditation",14433
"mind",13918
"may",13245
"think",13002
"say",12588
"also",12248
"just",11926
"see",11623
"time",11395
"like",11139
"life",10907
"take",10695
"make",10504
"go",10400
"way",10190
"thing",10031
"do",9849
"understand",9687
"people",9554
"experience",9421
"question",9297
"give",9121
"even",8946
"get",8826
"know",8674
"use",8570
"teach",8431
"find",8338
"answer",8179
"point",8056
"mean",7949
"teacher",7850
"karma",7680
"become",7554
"different",7416
"come",7322
"monk",7229
"person",7100
"suffer",6966
"first",6836
"tradition",6706
"rebirth",6617
"many",6526
"something",6401
"path",6296
"state",6194
"much",6104
"feel",5953
"enlightenment",5883
"follow",5826
"work",5761
"help",5677
"seem",5581
"world",5534
"day",5488
"etc",5424
"view",5375
"look",5307
"im",5223
"read",5136
"religion",5098
"action",5045
"precept",4996
"try",4964
"teaching",4912
"now",4889
"word",4836
"example",4797
"without",4726
"theravada",4678
"two",4633
"right",4582
"part",4547
"need",4515
"sutta",4485
"being",4441
"believe",4411
"lead",4384
"long",4354
"mahayana",4316
"body",4272
"still",4230
"accord",4203
"bad",4181
"truth",4158
"attain",4133
"since",4108
"another",4076
"sense",4048
"kill",4028
"other",4003
"someone",3985
