"x","Freq"
"can",1583
"use",1416
"transaction",1210
"cardano",918
"wallet",918
"will",911
"address",807
"contract",706
"ada",660
"stake",635
"pool",625
"get",612
"need",581
"run",571
"one",564
"script",560
"like",538
"plutus",531
"token",495
"key",493
"node",483
"block",449
"code",439
"also",433
"smart",426
"create",405
"good",401
"try",399
"work",397
"way",395
"just",390
"make",385
"im",384
"blockchain",380
"want",378
"time",375
"see",368
"example",358
"datum",353
"do",348
"mint",348
"know",328
"may",313
"send",312
"find",309
"follow",304
"fee",301
"error",300
"build",297
"look",289
"reward",287
"question",279
"now",268
"network",267
"new",267
"utxo",265
"2",258
"value",258
"file",256
"daedalus",255
"possible",249
"1",245
"give",245
"think",245
"check",241
"change",237
"go",228
"nft",224
"however",221
"start",221
"mean",220
"cardanocli",216
"slot",215
"user",212
"take",209
"validator",209
"different",203
"say",202
"help",201
"include",199
"epoch",195
"first",194
"fund",194
"hash",189
"policy",189
"require",186
"sure",184
"asset",183
"version",181
"add",180
"update",179
"answer",176
"output",176
"case",175
"provide",175
"part",173
"function",171
"set",171
"still",168
"understand",168
