"x","Freq"
"play",28541
"game",24881
"move",22860
"chess",18914
"can",17700
"good",17266
"pawn",16330
"black",15815
"white",15047
"player",14344
"one",12903
"position",11675
"open",10840
"piece",10111
"will",9750
"time",9247
"king",8667
"get",8389
"like",8029
"win",7819
"make",7687
"opponent",7445
"knight",7298
"think",7064
"bishop",6890
"use",6674
"just",6512
"1",6371
"may",6280
"know",6202
"see",6113
"do",6030
"attack",5932
"queen",5804
"give",5720
"opening",5640
"2",5563
"find",5503
"also",5418
"way",5328
"go",5255
"look",5171
"board",5099
"rook",5035
"two",4926
"take",4832
"try",4741
"point",4681
"even",4613
"square",4576
"line",4491
"first",4435
"3",4390
"question",4341
"draw",4286
"say",4235
"learn",4202
"example",4157
"side",4087
"advantage",4039
"book",3994
"many",3950
"variation",3893
"gambit",3845
"rate",3789
"much",3745
"lose",3681
"castle",3606
"strong",3556
"endgame",3505
"im",3463
"start",3411
"want",3360
"engine",3309
"rule",3269
"answer",3245
"follow",3207
"seem",3175
"tournament",3142
"little",3090
"d4",3047
"4",3026
"level",3004
"now",2983
"really",2942
"defense",2909
"check",2880
"computer",2851
"e4",2828
"probably",2802
"thing",2761
"possible",2748
"end",2718
"idea",2695
"tactic",2674
"usually",2649
"lot",2626
"need",2605
"force",2569
"5",2549
