"x","Freq"
"use",19847
"chinese",18124
"can",15884
"character",14120
"mean",11009
"word",10054
"one",9256
"example",8808
"like",8622
"say",8114
"good",7514
"also",6884
"sentence",6383
"write",6088
"just",5732
"language",5585
"know",5374
"will",5241
"people",5134
"do",5004
"find",4929
"english",4817
"think",4739
"tone",4632
"may",4487
"learn",4382
"way",4299
"see",4175
"different",4125
"make",4055
"two",3988
"question",3886
"name",3843
"sound",3785
"time",3738
"mandarin",3656
"something",3622
"im",3586
"get",3507
"read",3443
"many",3381
"speak",3287
"2",3248
"case",3230
"go",3195
"look",3157
"answer",3126
"first",3088
"china",3062
"want",3025
"pronunciation",2961
"difference",2927
"common",2898
"give",2863
"usually",2838
"dictionary",2801
"refer",2768
"follow",2736
"context",2682
"speaker",2638
"pinyin",2604
"even",2584
"however",2559
"come",2531
"book",2496
"translation",2473
"seem",2442
"translate",2418
"often",2386
"simplify",2373
"thing",2341
"someone",2324
"form",2306
"help",2294
"part",2269
"ask",2249
"understand",2234
"etc",2215
"call",2185
"pronounce",2158
"person",2139
"phrase",2120
"cantonese",2098
"eg",2080
"ive",2068
"little",2041
"traditional",2030
"verb",2012
"another",2000
"similar",1978
"need",1954
"really",1941
"take",1918
"usage",1889
"correct",1869
"try",1856
"cant",1837
"much",1825
"work",1802
"right",1792
