"x","Freq"
"god",92679
"will",48821
"one",41306
"jesus",38108
"say",35919
"good",32606
"bible",29611
"sin",27394
"can",25864
"us",24574
"christian",23778
"people",23110
"make",22600
"believe",22100
"christ",21638
"also",21199
"church",20704
"know",20378
"give",20018
"see",19703
"come",19374
"man",19095
"may",18844
"use",18507
"go",18246
"time",17970
"thing",17658
"do",17361
"think",17092
"even",16857
"mean",16472
"word",16291
"1",16041
"take",15838
"question",15642
"just",15429
"love",15244
"understand",15054
"way",14875
"life",14643
"law",14421
"faith",14217
"day",14018
"many",13838
"answer",13639
"john",13471
"like",13272
"lord",13087
"earth",12897
"niv",12747
"find",12597
"2",12382
"however",12232
"spirit",12064
"world",11924
"first",11766
"old",11620
"verse",11430
"different",11285
"heaven",11127
"new",10976
"get",10821
"genesis",10679
"father",10550
"holy",10435
"seem",10346
"catholic",10248
"point",10144
"testament",10037
"scripture",9962
"create",9867
"translation",9782
"two",9696
"book",9607
"son",9530
"work",9439
"reason",9353
"tell",9265
"need",9189
"part",9115
"without",9025
"roman",8954
"evil",8877
"live",8814
"person",8757
"write",8676
"matthew",8599
"place",8549
"act",8485
"child",8428
"state",8360
"example",8297
"follow",8248
"name",8190
"passage",8119
"belief",8072
"human",8010
"become",7949
"much",7901
"save",7841
