"x","Freq"
"character",216604
"use",129232
"input",118214
"output",81921
"char",73302
"can",67780
"code",63340
"1",58390
"program",53973
"2",50783
"one",48435
"numb",46620
"c",44681
"python",42986
"function",41533
"solution",40253
"example",39204
"will",38152
"line",37293
"short",36128
"0",35150
"n",34178
"first",33378
"test",32498
"string",31547
"give",30590
"take",29615
"edit",28880
"3",28272
"language",27560
"number",26920
"version",26352
"perl",25756
"value",24819
"work",24714
"need",24223
"write",23829
"may",23439
"good",22983
"run",22186
"get",22264
"just",21522
"like",21608
"two",21293
"make",20955
"time",20220
"case",20254
"ruby",20010
"integer",19701
"result",19417
"array",18875
"list",18960
"byte",18719
"answer",18204
"print",18334
"must",18165
"4",17382
"follow",17493
"point",17005
"golf",17409
"also",17206
"space",16989
"return",16470
"find",16299
"x",16398
"way",16199
"b",15732
"long",15587
"note",15139
"haskell",15311
"count",14857
"javascript",15225
"do",14759
"start",14848
"5",14663
"win",14291
"generate",13882
"10",14201
"instead",13844
"word",13466
"end",13587
"length",13686
"little",13313
"file",12962
"digit",13300
"score",12971
"sample",12824
"add",12935
"since",12362
"read",12256
"argument",12113
"im",11787
"loop",11871
"call",12008
"assume",11904
"golfscript",11772
"j",11891
"variable",11777
"change",11690
"challenge",11577
