"x","Freq"
"use",201800
"code",160784
"can",125806
"function",92637
"good",81904
"make",75669
"like",72087
"need",68222
"will",65647
"do",63302
"one",61292
"method",59128
"value",57241
"just",55438
"also",53594
"class",51465
"write",49239
"call",47381
"get",45823
"name",44704
"way",43779
"time",42880
"array",42035
"want",41274
"work",40567
"return",39835
"may",39035
"case",38297
"instead",37630
"list",36860
"im",36293
"test",35733
"2",35241
"string",34785
"loop",34231
"first",33781
"change",33363
"add",32976
"look",32585
"1",32232
"variable",31905
"object",31503
"datum",31050
"thing",30686
"type",30314
"think",29933
"example",29610
"file",29234
"create",28839
"find",28479
"check",28113
"see",27757
"know",27425
"numb",27113
"line",26759
"take",26450
"try",26136
"follow",25874
"something",25585
"give",25272
"two",24981
"element",24628
"input",24358
"go",24026
"problem",23714
"result",23363
"read",23050
"since",22775
"new",22485
"now",22232
"user",21961
"implementation",21719
"simple",21415
"comment",21174
"run",20921
"start",20701
"set",20439
"error",20234
"pass",20019
"easy",19803
"program",19565
"solution",19332
"id",19134
"much",18925
"note",18737
"question",18538
"0",18331
"really",18154
"implement",17983
"performance",17774
"point",17590
"3",17411
"sort",17273
"mean",17117
"say",16984
"possible",16824
"little",16676
"even",16556
"improve",16419
"c",16297
