"x","Freq"
"coffee",9671
"use",2948
"water",2759
"bean",2565
"good",2487
"can",2263
"brew",2187
"roast",2029
"will",2003
"grind",1951
"make",1833
"espresso",1631
"taste",1551
"get",1528
"like",1474
"caffeine",1438
"may",1402
"one",1391
"time",1356
"cup",1329
"filter",1308
"also",1252
"just",1183
"machine",1167
"drink",1052
"do",992
"little",972
"find",959
"method",925
"milk",920
"flavor",905
"process",890
"much",882
"go",861
"ground",847
"try",793
"grinder",780
"see",757
"way",753
"add",730
"long",716
"even",709
"im",702
"want",699
"question",692
"hot",685
"temperature",679
"different",668
"need",666
"say",643
"know",630
"amount",625
"press",613
"think",611
"take",605
"ive",591
"extraction",585
"cold",581
"fine",578
"heat",572
"2",557
"first",551
"keep",547
"pot",546
"start",543
"look",537
"produce",533
"really",524
"paper",519
"difference",514
"clean",512
"work",507
"result",500
"answer",497
"seem",493
"many",489
"people",483
"two",481
"bite",478
"quality",471
"however",468
"give",463
"thing",462
"pour",457
"high",454
"pressure",446
"day",441
"help",438
"sugar",435
"youre",428
"effect",425
"come",421
"lot",420
"still",418
"drip",415
"probably",410
"extract",404
"french",398
"buy",396
"small",391
