"x","Freq"
"can",11275
"use",8209
"question",7729
"may",7370
"one",7082
"good",6735
"study",6434
"brain",6162
"see",5861
"time",5633
"learn",5458
"also",5208
"model",5079
"make",4942
"people",4778
"think",4660
"memory",4558
"information",4444
"test",4357
"find",4260
"research",4160
"like",4077
"process",4009
"cognitive",3939
"task",3863
"know",3783
"example",3723
"will",3674
"read",3597
"different",3556
"effect",3510
"work",3444
"psychology",3378
"measure",3340
"reference",3313
"do",3281
"human",3245
"seem",3219
"answer",3186
"theory",3150
"however",3120
"look",3105
"interest",3059
"im",3034
"et",3009
"way",2960
"al",2946
"just",2930
"many",2895
"article",2862
"performance",2835
"system",2815
"give",2789
"mean",2752
"2",2723
"eg",2693
"pdf",2657
"get",2640
"thing",2616
"show",2604
"general",2581
"high",2549
"term",2532
"individual",2521
"science",2508
"difference",2488
"say",2463
"two",2441
"result",2420
"experience",2391
"level",2381
"even",2356
"understand",2343
"sleep",2331
"paper",2314
"point",2295
"activity",2282
"little",2265
"much",2249
"review",2238
"personality",2219
"person",2209
"social",2196
"visual",2179
"journal",2167
"response",2155
"want",2143
"change",2131
"specific",2118
"stimulus",2109
"type",2094
"psychological",2082
"problem",2067
"relate",2058
"behavior",2043
"take",2032
"base",2015
"need",2007
"datum",1993
"language",1977
