"x","Freq"
"language",2939
"word",1198
"use",1089
"can",813
"one",702
"like",611
"english",568
"make",538
"example",513
"write",489
"also",457
"may",438
"verb",437
"good",409
"mean",399
"sound",378
"system",364
"way",349
"different",346
"just",341
"conlang",327
"do",314
"even",314
"think",299
"will",299
"vowel",293
"create",289
"noun",289
"say",289
"know",288
"see",288
"many",277
"speak",276
"time",275
"case",272
"form",271
"change",265
"sentence",254
"look",248
"natural",248
"want",243
"esperanto",235
"thing",235
"grammar",232
"find",230
"question",227
"learn",224
"two",224
"im",223
"people",220
"construct",219
"need",219
"consonant",215
"feature",214
"base",212
"go",211
"get",209
"give",208
"work",198
"something",195
"new",193
"seem",193
"speaker",193
"mark",187
"first",186
"human",184
"come",181
"however",181
"numb",178
"part",178
"though",177
"much",175
"take",175
"name",172
"common",171
"vocabulary",171
"end",169
"little",169
"easy",165
"possible",163
"order",162
"really",159
"answer",158
"similar",158
"toki",155
"consider",151
"list",150
"rule",150
"still",149
"another",148
"letter",148
"conlangs",146
"pona",146
"start",145
"script",142
"eg",141
"exist",141
"lot",141
"long",136
"probably",134
