"x","Freq"
"use",62206
"good",52487
"cook",48283
"can",45430
"make",43347
"will",39693
"get",32831
"do",30119
"add",28932
"water",28085
"just",27111
"like",26159
"one",25172
"meat",24171
"recipe",23400
"also",22459
"time",21534
"go",20655
"oil",19891
"heat",19196
"may",18770
"try",18328
"need",18021
"pan",17692
"food",17355
"little",17012
"ive",16781
"much",16435
"egg",16142
"way",15936
"youre",15707
"keep",15440
"work",15170
"flavor",14884
"salt",14666
"want",14433
"find",14248
"cut",13972
"long",13723
"sauce",13493
"bake",13207
"thing",12979
"taste",12791
"temperature",12609
"knife",12417
"put",12252
"im",12078
"minute",11910
"sugar",11751
"oven",11625
"flour",11458
"really",11340
"take",11236
"hot",11142
"bite",11053
"store",10901
"grill",10759
"chicken",10674
"rice",10570
"spin-dry",10482
"sure",10380
"think",10273
"leave",10182
"garlic",10098
"lot",10041
"help",9951
"see",9860
"start",9762
"know",9690
"butter",9613
"first",9533
"cheese",9458
"dish",9389
"eat",9306
"even",9226
"different",9164
"freeze",9087
"let",9028
"say",8967
"something",8904
"boil",8843
"enough",8789
"come",8707
"bread",8657
"two",8581
"side",8527
"usually",8463
"fat",8417
"steak",8334
"look",8256
"stock",8209
"small",8147
"ingredient",8094
"place",8043
"us",7987
"buy",7930
"high",7871
"mix",7812
"onion",7756
"top",7695
