"x","Freq"
"use",7248
"can",5825
"make",4590
"will",4113
"paper",3847
"good",3552
"like",2945
"work",2789
"paint",2662
"get",2524
"one",2392
"also",2299
"want",2225
"do",2167
"may",2100
"need",2012
"cut",1943
"draw",1870
"look",1810
"just",1763
"color",1628
"glue",1612
"see",1579
"try",1532
"way",1494
"pencil",1466
"stitch",1404
"find",1356
"go",1346
"time",1337
"piece",1325
"surface",1278
"little",1260
"different",1238
"much",1225
"small",1190
"material",1169
"yarn",1136
"im",1127
"know",1098
"something",1077
"even",1067
"hand",1058
"light",1049
"line",1023
"sure",1013
"help",994
"take",977
"tool",971
"end",959
"water",945
"long",935
"apply",922
"think",915
"keep",906
"edge",895
"two",886
"start",880
"type",876
"fabric",867
"finish",863
"glass",860
"easy",851
"first",843
"part",834
"ink",828
"thing",827
"hold",815
"many",812
"youre",804
"around",794
"enough",788
"size",787
"come",784
"technique",783
"point",775
"oil",768
"spin-dry",762
"really",757
"back",754
"give",753
"shape",751
"place",746
"art",742
"create",739
"leave",734
"layer",731
"remove",724
"wood",722
"hard",716
"ive",712
"project",709
"without",701
"sew",697
"image",693
"bite",688
"knit",684
"thread",682
"however",674
"stick",671
