"x","Freq"
"key",90037
"use",82085
"can",60822
"hash",34704
"one",31604
"function",29707
"cipher",28037
"know",26534
"message",25612
"encryption",24501
"block",23744
"will",23130
"algorithm",22455
"value",21918
"encrypt",21247
"attack",20620
"good",20225
"random",19949
"give",19637
"need",19274
"also",18949
"way",18576
"password",18346
"two",18050
"n",17831
"numb",17547
"find",17347
"make",17099
"generate",16938
"rsa",16702
"like",16509
"public",16281
"security",16118
"get",15926
"bit",15754
"time",15612
"scheme",15447
"datum",15291
"output",15132
"2",14968
"secure",14838
"problem",14676
"may",14511
"p",14357
"1",14222
"work",14066
"do",13872
"plaintext",13743
"see",13608
"x",13490
"attacker",13326
"bite",13172
"just",13066
"signature",12914
"example",12800
"even",12688
"size",12536
"aes",12373
"first",12234
"want",12138
"secret",12032
"compute",11908
"question",11773
"prime",11646
"take",11532
"private",11433
"input",11330
"ciphertext",11236
"k",11131
"protocol",11020
"be",10908
"much",10803
"system",10726
"different",10590
"b",10514
"say",10421
"mean",10334
"look",10250
"since",10158
"c",10041
"send",9958
"decrypt",9868
"choose",9785
"however",9695
"possible",9587
"set",9498
"break",9415
"large",9323
"case",9249
"group",9175
"curve",9122
"cryptography",9043
"byte",8969
"try",8894
"answer",8835
"salt",8777
"easy",8713
"result",8640
"mode",8572
"point",8501
