"x","Freq"
"can",89412
"problem",58136
"use",53888
"algorithm",50838
"language",48852
"time",46956
"one",44811
"n",42508
"good",38146
"1",35604
"will",34280
"numb",33313
"give",32340
"function",31499
"case",30715
"example",29820
"set",28837
"may",27860
"node",26990
"find",26421
"need",25836
"know",25283
"2",24801
"tree",24199
"b",23803
"question",23376
"program",23117
"x",22778
"also",22428
"state",22163
"two",21887
"way",21561
"see",21286
"first",21015
"input",20786
"like",20582
"make",20405
"element",20169
"do",19942
"take",19756
"follow",19505
"regular",19305
"l",19075
"c",18903
"machine",18747
"let",18493
"point",18313
"s",18122
"prove",17919
"get",17758
"0",17564
"answer",17374
"k",17207
"run",17029
"datum",16851
"look",16682
"type",16556
"work",16423
"graph",16287
"mean",16140
"proof",15978
"just",15833
"solution",15708
"search",15553
"list",15427
"p",15281
"think",15143
"solve",15014
"say",14897
"now",14749
"even",14587
"many",14462
"possible",14312
"system",14189
"automaton",14034
"order",13905
"value",13781
"want",13625
"since",13496
"be",13364
"model",13215
"3",13074
"result",12927
"different",12809
"size",12686
"start",12598
"note",12497
"instance",12391
"complexity",12272
"structure",12182
"assume",12071
"consider",12005
"every",11905
"string",11803
"leave",11710
"compute",11619
"im",11536
"y",11468
"sort",11362
"call",11281
