"x","Freq"
"student",8772
"can",7275
"use",6564
"code",5492
"program",4925
"good",4195
"one",3989
"make",3824
"work",3666
"teach",3503
"get",3385
"will",3346
"like",3228
"class",3126
"language",3046
"may",3003
"think",2886
"learn",2858
"write",2794
"do",2727
"also",2694
"give",2642
"example",2596
"computer",2566
"time",2519
"course",2449
"just",2412
"way",2361
"need",2292
"thing",2213
"problem",2154
"test",2106
"c",2053
"first",2014
"go",1986
"know",1933
"want",1918
"see",1873
"understand",1803
"find",1765
"question",1732
"something",1700
"project",1683
"take",1669
"help",1645
"even",1625
"point",1601
"start",1574
"create",1555
"different",1509
"try",1474
"show",1430
"much",1423
"year",1402
"say",1349
"many",1323
"really",1304
"ask",1287
"level",1267
"explain",1257
"algorithm",1249
"easy",1241
"answer",1222
"etc",1207
"idea",1202
"part",1189
"im",1174
"people",1161
"look",1151
"science",1143
"two",1133
"2",1114
"concept",1107
"design",1097
"lot",1084
"little",1078
"assignment",1065
"case",1051
"set",1041
"come",1030
"value",1025
"grade",1018
"school",1012
"change",1003
"java",996
"simple",981
"type",977
"python",972
"function",958
"datum",945
"interest",941
"kid",937
"experience",926
"high",918
"method",914
"without",909
"tool",899
"every",892
"provide",884
"numb",873
