"x","Freq"
"problem",24713
"can",22056
"algorithm",15826
"n",14697
"time",13740
"one",13230
"use",12714
"graph",12357
"question",11790
"know",11437
"good",10957
"set",10628
"give",10060
"complexity",9644
"1",9267
"p",8952
"function",8619
"find",8347
"paper",8164
"numb",7870
"also",7600
"example",7410
"answer",7241
"x",7136
"2",7027
"language",6957
"proof",6864
"k",6769
"result",6655
"machine",6541
"two",6460
"class",6391
"may",6316
"vertex",6236
"polynomial",6120
"like",6066
"see",5960
"will",5877
"s",5761
"follow",5685
"model",5587
"work",5512
"np",5442
"theory",5392
"compute",5327
"think",5267
"case",5192
"state",5107
"let",5060
"be",5004
"point",4923
"input",4874
"show",4838
"do",4787
"size",4736
"c",4700
"bound",4666
"interest",4618
"prove",4576
"0",4527
"g",4499
"get",4473
"tree",4443
"program",4398
"say",4375
"make",4343
"need",4299
"solution",4276
"want",4240
"f",4211
"many",4183
"way",4160
"look",4116
"quantum",4084
"circuit",4061
"just",4022
"edge",3994
"take",3962
"low",3940
"since",3920
"space",3885
"l",3854
"theorem",3825
"turing",3794
"even",3777
"every",3745
"first",3704
"seem",3682
"im",3661
"bind",3641
"instance",3613
"possible",3593
"solve",3566
"b",3541
"consider",3520
"exist",3493
"random",3471
"easy",3441
"computer",3397
"hard",3373
