"x","Freq"
"datum",67269
"use",58585
"can",52691
"good",45196
"model",32966
"one",29435
"like",27461
"will",25850
"learn",24480
"may",23352
"set",22241
"feature",21330
"time",20486
"example",19711
"problem",19141
"work",18634
"value",18169
"algorithm",17761
"also",17331
"get",16923
"want",16589
"need",16127
"find",15899
"r",15617
"try",15336
"question",15060
"make",14825
"look",14615
"train",14419
"know",14211
"give",14040
"different",13868
"im",13736
"way",13591
"numb",13447
"result",13279
"just",13133
"machine",12971
"see",12810
"do",12676
"dataset",12505
"think",12385
"cluster",12272
"case",12135
"variable",12019
"point",11894
"user",11755
"method",11613
"1",11441
"python",11301
"2",11156
"analysis",11044
"class",10912
"take",10798
"base",10663
"run",10539
"test",10391
"process",10217
"science",10099
"first",9956
"approach",9792
"go",9658
"new",9525
"say",9395
"answer",9274
"language",9175
"sample",9070
"much",8992
"mean",8873
"many",8720
"two",8584
"tool",8487
"word",8369
"etc",8280
"classifier",8213
"network",8099
"follow",7983
"information",7891
"system",7812
"document",7728
"big",7640
"classification",7566
"regression",7452
"build",7376
"something",7289
"package",7184
"function",7099
"thing",7028
"help",6954
"even",6851
"start",6795
"large",6716
"predict",6660
"code",6602
"however",6539
"list",6479
"database",6413
"text",6369
"lot",6302
"matrix",6233
