"x","Freq"
"use",10683
"can",7992
"will",6068
"run",4875
"need",4601
"one",4245
"build",4060
"good",3944
"like",3818
"devops",3735
"change",3550
"system",3454
"test",3348
"work",3232
"code",3064
"server",2980
"make",2873
"docker",2816
"file",2753
"get",2682
"process",2634
"also",2571
"way",2491
"service",2428
"tool",2393
"team",2364
"time",2318
"environment",2231
"may",2217
"container",2197
"software",2178
"configuration",2128
"just",2089
"create",2051
"application",2025
"jenkins",1991
"new",1967
"deploy",1944
"do",1912
"deployment",1890
"instance",1878
"branch",1854
"version",1836
"want",1810
"datum",1799
"image",1773
"example",1751
"release",1743
"development",1725
"question",1711
"management",1689
"go",1683
"thing",1661
"set",1646
"try",1603
"script",1599
"ansible",1582
"find",1564
"feature",1545
"project",1514
"job",1487
"look",1473
"developer",1454
"aw",1429
"follow",1404
"problem",1392
"know",1382
"case",1374
"see",1368
"repository",1348
"user",1339
"different",1329
"im",1312
"support",1301
"start",1286
"take",1278
"issue",1270
"possible",1264
"something",1250
"allow",1236
"log",1229
"mean",1220
"source",1213
"add",1206
"manage",1186
"production",1184
"package",1173
"update",1167
"host",1152
"part",1140
"even",1132
"require",1121
"solution",1115
"pipeline",1100
"base",1095
"think",1088
"continuous",1080
"however",1077
"etc",1067
"infrastructure",1062
