"x","Freq"
"can",1596
"motor",1490
"use",1441
"drone",1317
"will",1175
"battery",1012
"good",876
"flight",781
"one",754
"fly",745
"get",723
"need",703
"also",660
"power",590
"like",584
"make",534
"may",532
"just",505
"do",487
"control",469
"go",463
"want",457
"prop",452
"time",435
"high",421
"voltage",415
"esc",408
"work",400
"see",395
"controller",392
"propeller",379
"antenna",372
"know",370
"look",367
"aircraft",363
"much",351
"charge",345
"find",345
"camera",343
"video",342
"signal",332
"try",332
"way",327
"small",324
"current",320
"little",310
"im",308
"low",307
"build",304
"receiver",297
"however",290
"two",281
"quad",280
"thrust",277
"large",275
"fpv",272
"change",270
"long",267
"speed",267
"give",266
"model",261
"take",259
"first",258
"thing",258
"wire",257
"even",256
"range",252
"transmitter",249
"different",248
"connect",244
"2",242
"mean",242
"part",238
"set",236
"rate",234
"system",233
"without",232
"example",231
"frame",231
"think",229
"lot",226
"possible",219
"increase",218
"direction",216
"youre",216
"cause",215
"require",215
"spin",214
"question",213
"add",211
"something",211
"design",205
"ive",205
"problem",204
"around",203
"weight",199
"betaflight",196
"lipo",195
"many",195
"size",193
