"x","Freq"
"use",56529
"can",46913
"signal",43922
"image",41681
"filter",39088
"frequency",31054
"good",25976
"will",23426
"one",21701
"time",20602
"sample",19678
"get",18759
"may",17980
"function",17243
"transform",16812
"value",16402
"like",15910
"need",15501
"1",15067
"2",14691
"process",14362
"point",14051
"also",13840
"find",13546
"give",13374
"look",13150
"know",12981
"example",12776
"noise",12648
"two",12496
"datum",12331
"algorithm",12179
"want",11997
"see",11865
"result",11704
"way",11565
"make",11397
"take",11281
"0",11155
"different",11031
"system",10957
"window",10823
"just",10712
"problem",10601
"im",10472
"try",10342
"do",10248
"method",10136
"work",10035
"response",9932
"fft",9824
"first",9706
"fourier",9620
"follow",9514
"case",9382
"question",9282
"pixel",9202
"mean",9108
"output",9034
"input",8919
"high",8797
"numb",8705
"think",8603
"phase",8521
"code",8401
"however",8282
"say",8199
"spectrum",8081
"feature",7995
"domain",7880
"peak",7766
"apply",7707
"coefficient",7633
"approach",7569
"edge",7507
"simple",7424
"low",7347
"now",7272
"go",7201
"n",7151
"much",7098
"note",7031
"calculate",6967
"matlab",6892
"scale",6817
"line",6749
"order",6670
"set",6623
"match",6563
"y",6506
"x",6447
"change",6388
"rate",6334
"source",6276
"detect",6230
"since",6183
"difference",6139
"answer",6086
"audio",6056
"right",6024
