"x","Freq"
"earth",9268
"can",7745
"will",6900
"water",5881
"use",5456
"model",5206
"temperature",4875
"also",4646
"one",4468
"time",4387
"surface",4229
"good",4157
"ocean",4044
"may",3961
"see",3862
"change",3753
"heat",3675
"year",3595
"ice",3498
"question",3456
"wind",3388
"know",3358
"high",3309
"rock",3240
"form",3197
"2",3149
"much",3091
"wave",3056
"atmosphere",3015
"cause",2963
"datum",2906
"climate",2861
"pressure",2829
"air",2793
"like",2759
"find",2734
"make",2667
"example",2647
"large",2614
"source",2586
"system",2561
"think",2461
"increase",2480
"effect",2458
"get",2445
"answer",2414
"core",2388
"energy",2368
"different",2343
"give",2324
"low",2294
"result",2275
"look",2258
"plate",2230
"just",2220
"however",2183
"sea",2167
"level",2149
"force",2127
"take",2105
"little",2088
"area",2066
"earthquake",2046
"point",2021
"process",2003
"two",1987
"way",1968
"mean",1954
"need",1926
"flow",1903
"warm",1890
"mantle",1869
"even",1843
"go",1830
"weather",1817
"due",1797
"field",1782
"many",1758
"long",1743
"say",1730
"do",1717
"et",1702
"al",1682
"small",1664
"cloud",1656
"global",1626
"scale",1611
"melt",1607
"eg",1591
"mass",1576
"article",1563
"come",1558
"rate",1551
"around",1538
"show",1521
"im",1507
"possible",1498
"amount",1485
"understand",1477
"1",1474
