"x","Freq"
"book",2942
"file",2823
"use",2820
"can",2594
"kindle",2479
"epub",1874
"read",1502
"format",1380
"device",1366
"ebook",1347
"will",1288
"good",1204
"page",1165
"pdf",1141
"one",1111
"like",1049
"reader",1001
"work",978
"also",911
"amazon",878
"calibre",865
"may",861
"text",850
"need",834
"make",831
"way",824
"do",809
"ebooks",804
"image",801
"get",783
"want",774
"find",749
"convert",730
"just",726
"support",724
"look",691
"try",687
"app",676
"content",658
"see",634
"know",617
"go",575
"create",560
"font",556
"document",543
"download",539
"question",532
"im",525
"free",506
"screen",496
"add",489
"different",474
"version",474
"problem",461
"html",456
"time",454
"display",450
"mobi",448
"drm",439
"word",427
"example",421
"answer",419
"author",412
"change",410
"software",409
"even",405
"include",398
"size",398
"first",395
"many",393
"open",391
"copy",384
"publish",383
"new",380
"note",377
"available",375
"buy",370
"thing",368
"think",368
"allow",366
"option",366
"css",364
"seem",363
"give",355
"kobo",354
"possible",350
"ive",347
"tool",344
"2",341
"able",331
"something",331
"store",330
"list",328
"say",324
"without",320
"library",316
"doesnt",314
"set",312
"title",311
"link",307
