"x","Freq"
"can",19999
"price",17887
"good",16312
"will",15284
"model",13176
"one",12375
"use",11833
"money",11044
"rate",10491
"market",10154
"may",9655
"bank",9283
"also",9076
"cost",8895
"increase",8700
"value",8512
"give",8361
"make",8229
"time",8119
"question",7944
"function",7861
"example",7682
"1",7555
"utility",7414
"think",7297
"2",7137
"economy",7018
"economic",6896
"like",6772
"see",6686
"equilibrium",6585
"get",6477
"case",6374
"country",6281
"us",6213
"high",6146
"say",6066
"two",5997
"know",5929
"supply",5858
"capital",5786
"theory",5738
"demand",5688
"problem",5601
"firm",5553
"people",5491
"interest",5442
"find",5400
"economics",5370
"little",5314
"wage",5272
"need",5217
"change",5187
"take",5151
"effect",5108
"currency",5047
"mean",4992
"government",4950
"just",4902
"0",4862
"much",4821
"work",4785
"first",4753
"paper",4724
"look",4688
"go",4648
"do",4607
"state",4583
"way",4551
"income",4513
"new",4478
"result",4453
"set",4424
"point",4396
"level",4371
"assume",4343
"since",4301
"want",4264
"answer",4218
"even",4194
"inflation",4169
"term",4144
"seem",4116
"debt",4087
"pay",4058
"production",4030
"many",3989
"now",3961
"tax",3942
"follow",3914
"trade",3891
"im",3868
"equation",3840
"datum",3804
"low",3777
"however",3745
"consumption",3720
"game",3690
"marginal",3661
"understand",3628
