"x","Freq"
"install",10366
"use",8652
"can",8102
"elementary",7385
"os",6779
"file",6179
"work",5775
"try",4962
"run",4216
"will",4061
"window",3862
"get",3639
"like",3533
"open",3492
"system",3420
"command",3327
"terminal",3284
"boot",3164
"freya",3077
"change",3020
"just",2931
"problem",2882
"want",2802
"now",2774
"update",2687
"need",2653
"do",2633
"find",2600
"see",2568
"add",2525
"follow",2484
"ubuntu",2472
"also",2414
"one",2389
"application",2342
"make",2303
"screen",2172
"issue",2277
"go",2255
"good",2234
"im",2206
"way",2173
"package",2144
"new",2114
"version",2093
"icon",2069
"sudo",2038
"click",2007
"fix",1984
"option",1966
"remove",1944
"set",1916
"time",1875
"may",1850
"know",1840
"driver",1815
"partition",1789
"app",1776
"setting",1747
"show",1713
"default",1697
"desktop",1676
"help",1664
"create",1616
"look",1583
"select",1552
"download",1520
"start",1504
"error",1484
"ive",1466
"first",1442
"laptop",1430
"folder",1411
"menu",1396
"software",1390
"doesnt",1371
"usb",1286
"installation",1343
"2",1336
"linux",1314
"seem",1304
"aptget",1293
"theme",1280
"edit",1264
"cant",1254
"line",1243
"bug",1232
"reboot",1213
"drive",1200
"grub",1191
"type",1188
"right",1177
"kernel",1172
"check",1163
"solution",1157
"support",1143
"something",1138
"user",1127
"key",1117
"press",1107
