"x","Freq"
"use",147926
"word",109568
"can",100162
"mean",90686
"say",84153
"english",72963
"one",60385
"sentence",57594
"may",54932
"example",53199
"like",51484
"good",49988
"question",48265
"make",46542
"verb",45348
"go",44316
"form",43026
"also",41749
"will",40630
"do",39863
"something",38888
"think",38010
"know",37219
"two",36448
"way",35815
"just",35168
"time",34565
"context",33927
"phrase",33243
"see",32684
"correct",32083
"people",31543
"come",31007
"case",30403
"2",29902
"get",29392
"follow",28836
"speaker",28267
"person",27768
"first",27335
"sound",26715
"want",26192
"im",25734
"even",25296
"write",24858
"noun",24482
"however",24099
"find",23738
"give",23420
"ask",23098
"language",22734
"answer",22372
"thing",22051
"speak",21750
"take",21491
"difference",21149
"someone",20845
"understand",20548
"different",20233
"little",19992
"look",19743
"many",19508
"refer",19245
"term",18989
"rule",18728
"common",18523
"work",18296
"often",18104
"usage",17847
"much",17680
"need",17490
"right",17305
"seem",17115
"native",16967
"sense",16815
"past",16677
"talk",16482
"end",16334
"now",16158
"usually",16006
"change",15846
"expression",15723
"tell",15558
"adjective",15433
"always",15301
"describe",15151
"still",15032
"consider",14911
"call",14802
"either",14682
"help",14566
"place",14469
"hear",14349
"another",14227
"present",14131
"rather",14028
"day",13938
"object",13833
"point",13727
"imply",13625
