"x","Freq"
"use",44010
"emacs",34373
"can",31179
"file",28786
"buff",18520
"like",16567
"function",15846
"will",14706
"want",14007
"mode",13247
"way",12875
"line",12191
"command",11695
"one",11434
"package",11163
"work",10984
"code",10699
"get",10437
"window",10219
"also",9967
"set",9766
"just",9512
"see",9365
"need",9184
"key",9062
"example",8939
"make",8688
"follow",8540
"do",8450
"run",8288
"call",8126
"text",7995
"find",7855
"add",7711
"good",7554
"im",7387
"may",7240
"bind",7108
"change",6999
"try",6817
"open",6703
"point",6531
"look",6412
"name",6287
"list",6223
"start",6158
"default",6046
"mx",5979
"variable",5904
"cx",5837
"new",5734
"time",5680
"current",5605
"version",5526
"buffer",5463
"search",5413
"answer",5364
"something",5328
"edit",5252
"install",5190
"type",5105
"frame",5066
"question",5034
"different",4955
"directory",4913
"display",4861
"first",4824
"case",4782
"value",4733
"load",4686
"problem",4643
"show",4602
"give",4550
"c",4517
"write",4466
"know",4426
"orgmode",4390
"cc",4361
"2",4338
"define",4303
"however",4270
"match",4220
"instead",4182
"create",4144
"option",4118
"two",4076
"doesnt",4038
"press",3993
"solution",3953
"thing",3921
"character",3898
"elisp",3874
"go",3857
"org",3828
"include",3787
"project",3764
"now",3741
"seem",3718
"provide",3693
"another",3664
