"x","Freq"
"can",113432
"energy",84812
"will",76479
"one",71226
"field",67271
"force",63092
"time",58649
"state",54315
"electron",50507
"use",48357
"point",46599
"photon",45292
"change",44256
"light",43142
"give",42047
"mass",41256
"particle",40519
"two",39792
"2",39030
"get",38381
"wave",37820
"see",37300
"know",36659
"system",36171
"equation",35650
"quantum",35145
"just",34651
"question",34251
"way",33813
"make",33407
"space",32941
"like",32478
"also",32063
"do",31644
"work",31199
"mean",30841
"theory",30521
"case",30199
"say",29847
"move",29481
"good",29095
"charge",28745
"vector",28450
"think",28141
"object",27852
"different",27599
"current",27320
"1",27022
"velocity",26803
"now",26531
"speed",26256
"find",26003
"go",25729
"direction",25446
"need",25154
"potential",24880
"answer",24639
"since",24343
"example",24110
"surface",23880
"atom",23639
"term",23408
"x",23217
"first",22953
"take",22736
"understand",22481
"may",22268
"t",22025
"however",21836
"constant",21624
"measure",21426
"0",21250
"function",21043
"position",20858
"law",20715
"electric",20516
"momentum",20346
"even",20185
"come",20037
"zero",19879
"temperature",19737
"problem",19566
"small",19437
"consider",19257
"distance",19118
"look",18970
"im",18824
"due",18704
"earth",18580
"large",18466
"follow",18306
"much",18157
"experiment",18033
"friction",17906
"gravity",17799
"little",17678
"magnetic",17574
"v",17450
"high",17326
"define",17219
