"x","Freq"
"project",40239
"team",30063
"work",24706
"can",22481
"good",19882
"will",17956
"time",16321
"make",15255
"need",14830
"get",14345
"use",13758
"do",13418
"one",13004
"manager",12547
"people",11978
"may",11362
"management",10770
"pm",10341
"task",9890
"like",9408
"go",8961
"way",8572
"take",8344
"also",8137
"know",7904
"change",7702
"thing",7531
"estimate",7385
"just",7198
"plan",7089
"risk",6935
"help",6810
"process",6680
"want",6568
"think",6488
"find",6425
"see",6314
"give",6226
"try",6144
"problem",6033
"question",5914
"development",5857
"much",5757
"say",5686
"software",5576
"start",5500
"client",5449
"meet",5365
"person",5309
"manage",5235
"issue",5185
"ask",5125
"company",5057
"member",5011
"product",4959
"new",4906
"tool",4859
"youre",4809
"agile",4771
"developer",4680
"even",4644
"look",4583
"many",4545
"experience",4513
"keep",4474
"point",4442
"something",4400
"scope",4376
"requirement",4343
"first",4299
"learn",4268
"case",4221
"important",4189
"scrum",4155
"come",4116
"sure",4086
"etc",4056
"test",4033
"job",4001
"different",3971
"understand",3935
"build",3908
"communication",3872
"business",3833
"feature",3801
"skill",3778
"schedule",3755
"really",3717
"approach",3677
"specific",3648
"decision",3613
"long",3577
"organization",3555
"bug",3524
"let",3504
"cost",3469
"part",3452
"im",3422
"situation",3399
"track",3188
