"x","Freq"
"hand",10574
"player",9090
"play",6693
"good",5814
"call",5525
"can",5164
"bet",4687
"card",4587
"will",4392
"game",4013
"poker",3667
"get",3624
"pot",3557
"make",3450
"fold",3278
"raise",3060
"one",2951
"win",2905
"opponent",2791
"flop",2713
"time",2654
"think",2593
"go",2489
"like",2419
"2",2383
"table",2327
"just",2239
"do",2191
"stack",2131
"range",2073
"give",2042
"big",1976
"blind",1953
"turn",1930
"know",1893
"tournament",1840
"pair",1808
"see",1795
"money",1763
"may",1736
"1",1705
"take",1683
"odd",1652
"much",1634
"draw",1619
"use",1584
"hero",1564
"say",1553
"two",1543
"way",1524
"also",1500
"check",1489
"3",1474
"preflop",1461
"youre",1435
"even",1419
"want",1398
"bb",1377
"villain",1359
"flush",1349
"position",1339
"river",1308
"first",1297
"high",1291
"chip",1275
"im",1256
"value",1234
"low",1207
"look",1197
"chance",1188
"little",1175
"5",1158
"rule",1154
"small",1148
"lose",1138
"situation",1114
"need",1102
"straight",1092
"many",1081
"example",1078
"lot",1070
"start",1065
"now",1046
"strategy",1036
"mean",1016
"question",1010
"case",1000
"4",990
"online",983
"people",980
"allin",974
"still",969
"bad",964
"try",960
"find",949
"deal",942
"equity",929
"point",918
"thing",909
"come",893
