"x","Freq"
"state",37385
"vote",31708
"can",28692
"people",26267
"party",24753
"one",23497
"government",22761
"law",21933
"country",21212
"good",20461
"make",19885
"tax",19100
"system",18553
"will",17908
"right",17285
"election",16634
"us",16038
"power",15463
"use",14985
"example",14605
"political",14239
"may",13867
"also",13524
"unite",13317
"question",13003
"get",12713
"time",12434
"year",12150
"like",11941
"even",11762
"say",11520
"give",11316
"many",11141
"see",10960
"way",10848
"article",10722
"two",10555
"2",10424
"first",10259
"take",10156
"work",10028
"just",9896
"much",9800
"do",9677
"however",9587
"member",9481
"find",9367
"federal",9286
"little",9216
"mean",9140
"reason",9035
"case",8923
"president",8836
"pay",8755
"constitution",8654
"change",8580
"court",8526
"term",8451
"candidate",8380
"go",8305
"since",8230
"congress",8157
"rule",8093
"know",8022
"support",7952
"answer",7912
"issue",7645
"voter",7775
"need",7708
"seem",7635
"consider",7579
"new",7492
"group",7437
"debt",7370
"interest",7321
"think",7258
"high",7207
"include",7170
"policy",7115
"want",7068
"1",7027
"leave",6971
"person",6911
"point",6868
"social",6669
"without",6768
"money",6706
"long",6661
"allow",6610
"public",6571
"democracy",6529
"idea",6495
"level",6457
"thing",6416
"3",6357
"war",6324
"house",6276
"income",6235
"base",6199
"citizen",6158
