"x","Freq"
"de",21043
"o",17866
"que",17430
"e",13242
"em",8890
"um",6309
"uma",5823
"ou",5779
"com",5667
"se",5585
"para",5375
"da",5169
"por",4782
"como",4633
"na",3914
"os",3760
"mais",3666
"ma",3465
"ser",2827
"use",2563
"eu",2366
"ao",2082
"s",1988
"portugus",1951
"exemplo",1768
"tambm",1724
"tem",1663
"portugal",1609
"quando",1558
"j",1496
"palavra",1466
"est",1445
"mesmo",1418
"ele",1390
"pode",1377
"muito",1352
"palavras",1306
"h",1294
"portuguese",1263
"forma",1240
"dos",1220
"word",1210
"verbo",1196
"ter",1178
"das",1163
"brasil",1132
"foi",1108
"significado",1064
"entre",1044
"lngua",1036
"este",1017
"frase",1004
"exemplos",982
"mean",977
"caso",960
"isso",948
"uso",932
"no",923
"esta",915
"can",899
"pelo",892
"bem",879
"porque",875
"2",867
"expresso",858
"qual",847
"pessoa",834
"usado",831
"duas",828
"seu",824
"apenas",809
"sem",804
"1",791
"sentido",774
"sua",763
"ainda",757
"aqui",751
"have",742
"sempre",738
"voc",729
"ver",723
"dicionrio",715
"like",709
"etc",704
"algum",700
"era",696
"example",690
"say",686
"dizer",674
"one",666
"seja",664
"portuguesa",659
"quem",656
"assim",652
"isto",649
"algo",645
"onde",644
"sujeito",639
"outros",633
"tempo",630
