"x","Freq"
"o",760857
"que",531340
"de",504932
"e",381299
"um",306539
"para",296687
"uma",226040
"em",199396
"com",186760
"voc",157016
"como",151314
"se",144341
"da",138038
"os",127771
"eu",119543
"na",111632
"ma",102713
"cdigo",99655
"por",97153
"ou",94225
"est",91750
"pode",89529
"isso",86905
"fazer",84179
"ser",80211
"estou",76253
"exemplo",73277
"ele",70541
"ao",68405
"mais",66216
"seu",63743
"quando",61606
"usar",59757
"dado",57939
"assim",56272
"funo",54769
"s",53516
"forma",52258
"j",51099
"caso",49889
"valor",48840
"tem",47615
"esse",46491
"problema",45393
"tenho",44214
"meu",43034
"erro",41997
"seguinte",40832
"1",39846
"apenas",38913
"arquivo",38069
"seja",37240
"mesmo",36517
"dentro",35950
"mtodo",35388
"usando",34880
"cada",34409
"string",33927
"vai",33439
"ento",32933
"porm",32524
"essa",32027
"tambm",31598
"tabela",31084
"abaixo",30693
"classe",30303
"algum",29868
"preciso",29403
"ter",29052
"array",28651
"sua",28349
"aqui",28082
"valores",27784
"dos",27428
"2",27103
"depois",26786
"resultado",26516
"linha",26229
"sem",25933
"lista",25642
"onde",25456
"criar",25204
"vc",24964
"banco",24706
"pelo",24498
"foi",24269
"todos",24047
"html",23803
"datum",23566
"segue",23374
"outra",23122
"esta",22913
"veja",22729
"minha",22546
"poi",22375
"tipo",22170
"nome",22009
"php",21841
"seria",21687
"3",21516
