"x","Freq"
"use",32397
"can",28160
"price",25978
"model",20670
"datum",18900
"trade",17939
"good",16870
"option",16202
"return",15514
"market",14955
"will",14445
"time",14026
"one",13443
"volatility",12930
"risk",12429
"stock",11926
"like",11491
"may",11129
"get",10853
"also",10507
"question",10136
"strategy",9848
"make",9666
"see",9481
"look",9194
"find",9040
"value",8837
"know",8696
"rate",8513
"example",8318
"think",8181
"portfolio",8035
"interest",7902
"just",7812
"need",7662
"order",7553
"do",7467
"give",7372
"work",7284
"way",7202
"mean",7121
"want",7019
"different",6939
"im",6842
"say",6770
"take",6687
"asset",6581
"1",6520
"high",6465
"call",6412
"go",6341
"paper",6275
"distribution",6227
"factor",6164
"method",6120
"series",6073
"future",6034
"r",5983
"2",5932
"approach",5885
"problem",5826
"test",5772
"try",5704
"two",5666
"hedge",5633
"process",5594
"case",5536
"much",5485
"answer",5443
"equity",5403
"estimate",5358
"finance",5317
"many",5278
"point",5240
"correlation",5193
"even",5158
"book",5126
"change",5091
"calculate",5043
"measure",4997
"term",4962
"result",4908
"imply",4852
"base",4812
"function",4763
"now",4734
"day",4694
"expect",4653
"long",4618
"start",4589
"follow",4552
"index",4528
"really",4484
"etc",4452
"short",4425
"first",4394
"analysis",4352
"assume",4324
"money",4288
"year",4250
