"x","Freq"
"quantum",19741
"state",15714
"can",13950
"qubit",13245
"use",10300
"computer",9324
"one",8259
"algorithm",7425
"1",6500
"gate",5968
"system",5437
"classical",5204
"problem",5046
"will",4912
"error",4765
"two",4611
"good",4465
"time",4405
"give",4320
"also",4209
"know",4045
"get",3975
"2",3912
"0",3837
"example",3787
"question",3746
"answer",3690
"different",3648
"compute",3613
"may",3581
"measurement",3542
"way",3502
"computation",3468
"code",3434
"just",3406
"make",3374
"n",3352
"find",3321
"case",3286
"need",3243
"see",3212
"like",3155
"numb",3125
"basis",3076
"information",3051
"possible",2983
"matrix",2940
"circuit",2900
"probability",2858
"do",2830
"mean",2802
"operation",2777
"first",2748
"rangle",2714
"result",2698
"work",2639
"paper",2597
"even",2570
"however",2542
"say",2519
"want",2489
"input",2466
"x",2441
"apply",2425
"point",2387
"vector",2370
"implement",2347
"take",2326
"measure",2309
"think",2295
"single",2285
"set",2263
"space",2235
"model",2194
"perform",2174
"bite",2160
"describe",2150
"simulate",2138
"lvert",2118
"operator",2085
"term",2052
"many",2031
"unitary",2015
"look",1994
"now",1982
"represent",1967
"require",1950
"show",1927
"write",1911
"follow",1879
"noise",1872
"entangle",1848
"base",1821
"consider",1804
"output",1792
"solve",1770
"seem",1756
"3",1736
"correction",1723
"phase",1711
