"x","Freq"
"use",22109
"can",10975
"memory",10026
"one",8994
"computer",8415
"will",8131
"program",7737
"work",7411
"game",7090
"system",6955
"run",6845
"drive",6626
"also",6412
"good",6296
"rom",6186
"disk",6049
"need",5976
"datum",5875
"get",5693
"like",5621
"time",5523
"code",5423
"may",5339
"make",5259
"find",5175
"apple",5076
"just",4950
"cpu",4874
"ram",4801
"chip",4743
"address",4657
"do",4533
"write",4486
"2",4377
"read",4303
"basic",4259
"first",4213
"instruction",4147
"file",4090
"see",4041
"way",3998
"power",3960
"old",3897
"know",3843
"machine",3801
"question",3773
"byte",3699
"bite",3668
"floppy",3618
"software",3569
"hardware",3522
"line",3482
"set",3435
"signal",3400
"1",3374
"two",3353
"even",3324
"support",3297
"version",3263
"load",3235
"card",3181
"screen",3163
"register",3134
"amiga",3112
"mode",3090
"case",3054
"go",3027
"try",3011
"page",2996
"look",2962
"pin",2945
"video",2927
"change",2897
"start",2866
"take",2849
"copy",2832
"think",2806
"access",2791
"im",2781
"image",2747
"still",2732
"device",2716
"example",2695
"keyboard",2677
"thing",2658
"new",2636
"port",2623
"value",2611
"without",2588
"allow",2576
"3",2562
"ii",2553
"much",2540
"many",2525
"different",2510
"ive",2495
"window",2489
"give",2477
"part",2469
"numb",2451
