"x","Freq"
"use",16887
"can",14960
"code",11809
"file",10977
"function",10156
"will",7417
"like",7016
"find",6728
"one",6591
"call",6454
"also",6208
"look",6034
"program",5817
"good",5627
"ida",5394
"see",5269
"get",5198
"know",5054
"may",4980
"tool",4819
"try",4702
"instruction",4599
"binary",4503
"way",4424
"work",4361
"reverse",4260
"address",4197
"example",4149
"datum",4070
"run",4032
"need",3973
"make",3881
"window",3807
"do",3733
"want",3662
"process",3605
"just",3531
"engineer",3450
"follow",3402
"source",3362
"information",3275
"set",3219
"point",3155
"im",3080
"system",3033
"first",2976
"value",2894
"executable",2855
"memory",2808
"format",2744
"analysis",2714
"byte",2682
"give",2655
"go",2618
"write",2590
"malware",2552
"start",2530
"question",2489
"time",2471
"debug",2454
"different",2430
"read",2408
"version",2390
"case",2359
"software",2319
"application",2298
"register",2278
"stack",2248
"something",2232
"type",2208
"load",2192
"compiler",2175
"name",2155
"add",2140
"answer",2126
"string",2107
"create",2085
"possible",2076
"c",2062
"change",2048
"even",2034
"help",2025
"check",2015
"library",1994
"structure",1985
"variable",1974
"another",1961
"debugger",1948
"gdb",1941
"script",1926
"think",1914
"access",1897
"take",1889
"now",1873
"able",1865
"many",1857
"key",1843
"execute",1832
"base",1823
"open",1812
