"x","Freq"
"use",15986
"can",13470
"robot",9645
"motor",8022
"will",7463
"good",6489
"need",6022
"one",5685
"control",5397
"get",5222
"may",5008
"system",4835
"like",4662
"work",4529
"make",4316
"sensor",4204
"also",4113
"want",3993
"time",3931
"way",3839
"problem",3787
"just",3742
"do",3670
"know",3594
"im",3516
"see",3443
"move",3396
"find",3362
"power",3282
"position",3225
"look",3189
"arduino",3153
"two",3124
"go",3091
"speed",3028
"robotic",2984
"give",2943
"current",2877
"try",2833
"point",2769
"question",2738
"much",2706
"think",2656
"run",2623
"datum",2581
"2",2539
"wheel",2519
"take",2494
"torque",2470
"even",2418
"example",2392
"battery",2361
"case",2335
"however",2297
"high",2269
"build",2235
"controller",2216
"thing",2196
"start",2164
"algorithm",2148
"first",2130
"little",2110
"arm",2090
"model",2082
"require",2070
"different",2060
"error",2042
"servo",2024
"drive",2003
"design",1980
"set",1961
"able",1945
"simple",1921
"turn",1912
"follow",1895
"part",1887
"small",1874
"filter",1850
"program",1840
"say",1835
"many",1825
"mean",1813
"possible",1802
"solution",1785
"answer",1768
"enough",1756
"add",1749
"something",1734
"really",1719
"base",1710
"method",1695
"process",1687
"1",1667
"track",1650
"change",1640
"code",1632
"function",1616
"right",1606
"help",1593
"probably",1585
