"x","Freq"
"game",145584
"player",125440
"can",96868
"good",85234
"character",78153
"use",74099
"one",71029
"make",67584
"play",64203
"get",60965
"like",57966
"just",55306
"will",52698
"do",50719
"want",49065
"may",47744
"rule",46460
"go",45249
"thing",44112
"time",43018
"level",41769
"think",40744
"set",39802
"also",38915
"way",38066
"give",37292
"need",36668
"group",36107
"have",35578
"skill",34984
"take",34327
"find",33776
"work",33237
"system",32713
"know",32265
"roll",31804
"die",31382
"people",30945
"run",30542
"lot",30103
"campaign",29575
"something",29125
"gm",28680
"really",28258
"try",27830
"two",27344
"start",26884
"even",26414
"ive",26082
"im",25670
"come",25326
"see",24850
"keep",24515
"adventure",24190
"look",23874
"much",23521
"point",23181
"book",22855
"new",22527
"power",22248
"example",21983
"monster",21657
"little",21349
"first",21124
"session",20860
"help",20635
"different",20426
"combat",20201
"say",20007
"pc",19785
"youre",19557
"party",19348
"story",19110
"attack",18949
"encounter",18580
"interest",18603
"damage",18413
"2",18213
"great",18060
"world",17903
"easy",17791
"let",17664
"hit",17542
"thats",17422
"theres",17273
"feel",17150
"change",17026
"idea",16908
"etc",16780
"table",16671
"write",16557
"add",16438
"back",16328
"build",16218
"still",16108
"doesnt",16027
"check",15911
"id",15806
"many",15699
"3",15599
