"x","Freq"
"c",37598
"1",34059
"2",20698
"java",18468
"window",16468
"php",15071
"0",13828
"3",12806
"html",11990
"visual",11338
"ps",10583
"4",10168
"upd",9717
"n",9274
"javascript",8871
"net",8544
"studio",8127
"linux",7906
"gwt",7585
"xml",7261
"jquery",7008
"5",6747
"api",6477
"x",6282
"python",6126
"gcc",5894
"mysql",5735
"10",5660
"int",5548
"7",5368
"js",5297
"ubuntu",5169
"css",5069
"null",4912
"ajax",4760
"8",4747
"dll",4661
"ide",4567
"web",4385
"eclipse",4360
"100",4343
"32",4264
"6",4154
"sql",4075
"id",4015
"delphi",3998
"ie",3935
"file",3887
"true",3829
"android",3758
"apache",3707
"b",3612
"flash",3563
"qt",3468
"wpf",3503
"char",3394
"y",3432
"microsoft",3385
"object",3293
"2010",3119
"msdn",3195
"div",3078
"server",3105
"p",3105
"framework",2947
"get",2941
"google",2937
"ip",2872
"k",2829
"long",2795
"use",2764
"be",2664
"error",2669
"string",2513
"3d",2588
"64",2567
"http",2551
"ms",2524
"vs",2388
"aspnet",2377
"15",2419
"30",2385
"false",2302
"sdk",2308
"type",2289
"9",2255
"express",2292
"h",2224
"debian",2151
"ejb",2178
"ruby",2131
"ui",2113
"xp",2119
"00000000",2122
"20",1992
"json",1968
"malloc",2098
"s",1919
"start",1872
"winapi",2000
