"x","Freq"
"use",8613
"word",7103
"russian",6180
"can",5556
"mean",5142
"one",4026
"example",3743
"say",3536
"like",3252
"form",3037
"case",2952
"also",2805
"language",2652
"good",2578
"may",2377
"english",2347
"question",2156
"verb",2117
"sound",2058
"just",1984
"two",1901
"2",1847
"first",1791
"sentence",1753
"will",1726
"name",1681
"know",1655
"phrase",1610
"something",1590
"different",1569
"think",1544
"way",1527
"see",1500
"noun",1470
"even",1446
"answer",1418
"make",1400
"write",1376
"find",1357
"time",1340
"people",1324
"end",1312
"difference",1285
"person",1267
"context",1249
"do",1229
"follow",1221
"etc",1210
"correct",1192
"rule",1178
"understand",1159
"however",1149
"pronounce",1116
"speaker",1105
"come",1090
"translate",1078
"give",1072
"translation",1060
"go",1043
"dictionary",1031
"letter",1018
"usually",1005
"usage",995
"actually",981
"common",976
"many",948
"thing",933
"part",922
"seem",912
"always",901
"often",881
"term",877
"though",871
"im",866
"old",863
"want",858
"stress",848
"look",841
"vowel",834
"another",827
"call",819
"describe",813
"get",810
"now",806
"refer",803
"speech",799
"1",793
"3",787
"mention",780
"quite",775
"modern",767
"speak",760
"consonant",757
"action",749
"native",738
"need",733
"tense",730
"take",724
"ask",718
"learn",716
