"x","Freq"
"good",95681
"student",90923
"can",88294
"research",84774
"work",80609
"will",76271
"paper",71994
"may",67468
"get",63886
"one",60127
"phd",56252
"do",53436
"time",51197
"university",48863
"make",46771
"know",45451
"use",44460
"like",43641
"field",42757
"journal",42028
"people",41358
"question",40581
"want",39912
"program",39223
"year",38639
"interest",38056
"find",37464
"also",36752
"school",36165
"go",35681
"think",35017
"take",34444
"even",33779
"need",33156
"graduate",32498
"write",32016
"just",31449
"look",30765
"professor",30189
"department",29536
"publish",28904
"ask",28351
"give",27851
"way",27430
"many",27087
"im",26671
"say",26163
"much",25739
"problem",25366
"apply",24969
"see",24642
"case",24263
"thing",23944
"answer",23625
"job",23324
"course",23051
"really",22747
"read",22483
"talk",22255
"different",22054
"faculty",21834
"help",21608
"advisor",21374
"experience",21152
"youre",20906
"academic",20706
"however",20506
"science",20314
"review",20130
"publication",19922
"something",19706
"example",19516
"letter",19361
"try",19182
"teach",19039
"degree",18880
"position",18743
"project",18600
"conference",18423
"ive",18293
"author",18144
"little",18005
"idea",17876
"lot",17758
"important",17613
"application",17506
"first",17382
"topic",17285
"fund",17174
"new",17072
"consider",16971
"often",16862
"start",16737
"point",16619
"someone",16507
"less",16399
"master",16300
"result",16181
"two",16077
"probably",15978
