"x","Freq"
"phone",92963
"app",82051
"use",76783
"can",72500
"android",65016
"will",57472
"get",41275
"like",38642
"root",37178
"one",35704
"work",34403
"just",33158
"do",31771
"device",29631
"good",27525
"way",26369
"application",25531
"run",24962
"install",24439
"try",24088
"im",23690
"see",23277
"google",22906
"also",22537
"want",22193
"need",21902
"update",21627
"go",21253
"may",20834
"htc",20493
"find",20160
"file",19756
"contact",19430
"market",19132
"know",18792
"screen",18538
"time",18272
"make",18040
"wifi",17768
"set",17566
"ive",17310
"problem",17098
"rom",16889
"datum",16672
"version",16425
"battery",16192
"look",15967
"call",15769
"support",15572
"possible",15361
"galaxy",15146
"download",14888
"card",14724
"back",14550
"option",14369
"22",14221
"now",14022
"seem",13873
"sync",13733
"doesnt",13615
"allow",13502
"samsung",13391
"setting",12990
"change",13121
"turn",12982
"even",12907
"new",12810
"sd",12706
"droid",12591
"able",12481
"connect",12334
"message",12209
"system",12108
"account",11999
"think",11903
"without",11809
"s",11721
"take",11603
"network",11515
"still",11198
"list",11331
"say",11247
"free",11148
"however",11047
"thing",10969
"sure",10882
"button",10749
"access",10437
"question",10556
"open",10257
"show",10164
"add",10328
"give",10026
"help",10159
"really",10078
"home",9786
"feature",9933
"21",9853
"froyo",9773
"start",9692
