"","3dprinting","academia","ai","android","anime","apple","arduino","astronomy","aviation","avp","beer","bicycles","bioinformatics","biology","bitcoin","blender","boardgames","bricks","buddhism","cardano","chemistry","chess","chinese","christianity","civicrm","codegolf","codereview","coffee","cogsci","computergraphics","conlang","cooking","craftcms","crafts","crypto","cs","cseducators","cstheory","datascience","dba","devops","diy","drones","drupal","dsp","earthscience","ebooks","economics","electronics","elementaryos","ell","emacs","engineering","english","eosio","esperanto","ethereum","expatriates","expressionengine","fitness","freelancing","french","gamedev","gardening","genealogy","german","gis","graphicdesign","ham","hardwarerecs","health","hermeneutics","hinduism","history","homebrew","hsm","interpersonal","iota","islam","italian","japanese","joomla","judaism","korean","languagelearning","latin","law","lifehacks","linguistics","literature","magento","martialarts","materials","math","matheducators","mathematica","mechanics","moderators","money","movies","music","musicfans","mythology","physics","pm","poker","politics","portuguese","pt","puzzling","quant","quantumcomputing","raspberrypi","retrocomputing","reverseengineering","robotics","rpg","ru","rus","russian","salesforce","scicomp","scifi","security","sharepoint","sitecore","skeptics","softwareengineering","softwarerecs","sound","space","spanish","sports","sqa","stackapps","stats","stellar","superuser","sustainability","tex","tezos","tor","travel","tridion","ukrainian","unix","ux","vegetarianism","vi","webapps","webmasters","windowsphone","woodworking","wordpress","workplace","worldbuilding","writers","index"
"1",16792,95681,21403,92963,14256,147332,62011,26611,59285,22086,6452,73329,10493,39576,61876,110581,52834,8373,31817,1583,55245,28541,19847,92679,18233,216604,201800,9671,11275,7854,2939,62206,18696,7248,90037,89412,8772,24713,67269,169082,10683,116325,1596,154812,56529,9268,2942,19999,159145,10366,147926,44010,22307,133443,3276,7632,71560,12962,21717,25330,9751,85417,131841,52489,11448,52983,215293,77696,15416,6420,10925,78209,24473,22950,16884,4479,24030,3108,31563,16465,45270,13178,54635,3885,7196,11205,42305,11301,31190,7006,118646,8903,4958,144403,18336,153235,47731,4060,83628,28391,84803,5151,3651,113432,40239,10574,37385,21043,760857,65653,32397,19741,80257,22109,16887,15986,145584,37598,6178,8613,180217,24345,69294,167752,152367,23679,16683,132411,40549,32880,31007,69721,11886,73050,3934,145544,2331,181388,7234,260074,1828,21147,89465,14013,870,204942,153668,2246,28798,44810,81289,9239,13422,192100,132672,120336,54960,1
"2",11073,90923,19326,82051,13083,129589,47056,20624,42019,17467,2694,43012,7428,31557,49974,99004,35438,7065,24200,1416,46643,24881,18124,48821,17051,129232,160784,2948,8209,6438,1198,52487,16830,5825,82085,58136,7275,22056,58585,155420,7992,103095,1490,119605,46913,7745,2823,17887,133866,8652,109568,34373,21101,95703,2911,3526,55062,10890,12688,23749,9344,54673,113799,27418,7607,47007,128014,67008,11320,5991,7505,49336,21074,20197,14156,4065,22712,1497,25341,11294,27962,12180,49229,3228,5153,8319,37098,10260,17535,6064,112344,7832,4532,134337,12090,123592,38935,3112,77213,23516,75592,4039,2851,84812,30063,9090,31708,17866,531340,59441,28160,15714,70959,10975,14960,13470,125440,34059,5855,7103,143203,19272,57017,134483,142313,19133,14998,117576,38762,23920,27199,52457,10532,30968,3625,132773,2189,145192,5844,134687,1801,12270,79037,10642,768,179826,86244,1588,21322,40920,69954,5284,10476,167108,103535,101704,44861,2
"3",8948,88294,15887,76783,12277,86476,37492,18350,39057,13858,2237,38094,6842,24780,45978,92651,31510,6274,21088,1210,42003,22860,15884,41306,14146,118214,125806,2759,7729,4308,1089,48283,14709,4590,60822,53888,6564,15826,52691,124191,6068,96255,1441,110372,43922,6900,2820,16312,123462,8102,100162,31179,18220,76677,2824,3186,49340,10404,12108,21855,6058,50656,97325,25497,7192,38805,104909,52479,10195,5357,6887,39519,19094,19041,13038,3410,21808,1349,22126,9509,26324,10624,29564,2375,3050,7388,31001,7065,14008,5453,107827,6912,2680,123547,10285,97122,35429,2645,72765,22054,68440,2229,2123,76479,24706,6693,28692,17430,504932,55059,25978,13950,50742,10026,11809,9645,96868,20698,2848,6180,107606,13727,52389,89847,122021,14647,13763,99788,22322,21646,25002,48920,9624,25998,3255,116658,1759,125438,4288,88319,1480,7418,71083,9676,716,140114,76660,1471,19880,37755,65425,5008,10221,133117,97951,74145,41748,3
"4",8369,84774,13200,72500,11313,79447,31394,16786,36080,10065,1910,35980,5190,22266,43263,73086,29086,5642,18786,918,38648,18914,14120,38108,10839,81921,92637,2565,7370,3716,813,45430,14180,4113,34704,50838,5492,14697,45196,114374,4875,85868,1317,101494,41681,5881,2594,15284,114917,7385,90686,28786,11709,72483,2515,3001,38953,9192,11329,20788,5657,34309,66195,23972,6673,36352,88812,43185,7950,4197,6204,34749,16927,17876,11588,3183,20753,1346,19538,9140,24756,7691,27279,2230,2780,4984,28945,6077,13305,4941,101339,6485,2277,112501,9610,68513,32990,2210,68524,21016,61423,2125,2030,71226,22481,5814,26267,13242,381299,51058,20670,13245,37518,8994,10977,8022,85234,18468,1454,5556,96037,13032,49310,79292,112366,13477,13051,82630,19890,18517,23340,45050,8736,16323,3080,110471,1690,111531,4051,83736,1314,5619,55194,9042,564,98941,63491,1342,18671,25932,58983,4188,8552,122089,94160,69801,39004,4
"5",7183,80609,12345,65016,10518,74808,26735,15766,34001,8482,1872,34343,4934,20045,40127,57806,27060,5117,17441,918,37084,17700,11009,35919,9199,73302,81904,2487,7082,3352,702,43347,13509,3847,31604,48852,4925,13740,32966,106229,4601,72956,1175,86313,39088,5456,2479,13176,105517,6779,84153,18520,10747,68780,2214,2637,32505,8711,10474,19868,5078,32178,61250,22863,6278,34525,82488,40240,7532,3985,5054,32543,15323,16951,10872,3057,19863,1336,18248,8544,22976,6356,25119,1973,2691,4748,27446,5583,12372,4701,87508,6197,1966,88486,8451,61797,29505,1880,60621,19931,55756,2050,1929,67271,19882,5525,24753,8890,306539,44100,18900,10300,35359,8415,10156,7463,78153,16468,931,5142,88302,11886,47469,73523,100649,9323,12293,74648,17809,16083,21570,40245,7102,14336,2935,85879,1594,85341,3641,78200,1108,4697,49250,8080,474,90848,53009,1204,17388,23429,52238,3470,8161,101957,90011,67112,34004,5
"6",6265,76271,11682,57472,10049,71423,24457,14888,31447,7435,1693,33050,4302,18544,36262,54625,23132,4116,16717,911,35321,17266,10054,32606,8227,67780,75669,2263,6735,3285,611,39693,10867,3552,29707,46956,4195,13230,29435,97750,4245,67742,1012,76331,31054,5206,1874,12375,90355,6179,72963,16567,10053,62946,1663,2471,28986,8013,9811,19046,4878,31202,58196,21750,5551,32590,78352,37855,7194,3814,5509,29598,13843,15773,9763,2970,19173,1317,17210,7136,21474,5972,23256,1673,2173,4577,25915,5059,11153,4588,74724,5978,1935,80043,7914,58895,26031,1632,56263,19085,48507,1926,1788,63092,17956,5164,23497,6309,296687,39682,17939,9324,33304,8131,7417,6489,74099,15071,561,4026,84628,10573,45821,69651,80778,8485,11871,69871,16944,14891,20365,28736,6277,12756,2703,77293,1001,80163,3432,73190,1038,3860,46672,7441,349,82037,47385,1087,15554,22084,46611,2516,7054,90020,87332,65027,31737,6
"7",5715,71994,10957,41275,9781,67660,22327,13974,28244,6787,1580,30713,3972,17466,32556,51655,21485,3708,15867,807,34109,16330,9256,29611,7913,63340,72087,2187,6434,3113,568,32831,10287,2945,28037,44811,3989,12714,27461,90179,4060,64123,876,72043,25976,4875,1502,11833,81052,5775,60385,15846,9374,59237,1580,2355,27045,7798,9237,18225,4652,29646,56196,20893,5103,27416,74189,34880,6747,3459,5021,27737,12884,14955,9361,2928,18550,1189,16409,6726,20511,5718,22162,1420,1910,4394,24368,4731,9704,4488,69910,5660,1905,75741,7128,56331,24284,1581,53488,18614,45901,1737,1699,58649,16321,4687,22761,5823,226040,36251,16870,8259,31116,7737,7016,6022,71029,13828,427,3743,81882,9927,44270,64773,75741,8145,11304,66993,16036,13743,19382,24656,5544,12226,2404,73308,977,73616,3122,70067,940,3666,44753,7263,314,76071,45502,1050,11488,20388,39382,2232,6280,85392,83405,62623,30451,7
"8",5383,67468,10353,38642,9432,64495,20735,13373,26209,6522,1428,28171,3419,16986,30104,49650,19941,3401,14997,706,32496,15815,8808,27394,7659,58390,68222,2029,6162,3077,538,30119,9453,2789,26534,42508,3824,12357,25850,85549,3944,60941,781,68881,23426,4646,1380,11044,69849,4962,57594,14706,9002,56673,1461,1996,25572,7217,8750,17159,4457,28531,54282,20009,4938,25039,70885,33102,6240,3262,4983,26078,12212,14198,8711,2838,17927,875,15665,6105,18550,5543,21248,1390,1706,4145,22850,4547,8763,4387,63961,5445,1839,71716,6896,54614,22694,1529,50602,18086,42904,1660,1675,54315,15255,4587,21933,5779,199396,34279,16202,7425,29620,7411,6728,5685,67584,12806,387,3536,79239,9521,42833,56804,71935,7780,10842,64685,14866,12750,18318,21953,5382,11665,2167,70282,956,69467,3038,67940,928,3630,42974,5843,291,73079,43017,1045,10764,19413,36444,2151,5936,81818,78647,60453,29213,8
"9",4948,63886,10018,37178,9102,61078,19699,13012,24747,6326,1361,26337,3364,16410,27752,48249,18574,3023,14433,660,30727,15047,8622,25864,7379,53973,65647,2003,5861,2923,513,28932,8804,2662,25612,38146,3666,11790,24480,80230,3818,58032,754,66049,21701,4468,1366,10491,64694,4216,54932,14007,8546,54044,1443,1928,24067,6862,8406,16271,4245,27391,52498,18546,4539,22869,68956,32105,5618,3155,4880,24845,11708,13465,8139,2618,17441,696,14770,5881,16670,5337,20649,1348,1634,3923,21700,4317,8066,4259,61455,5245,1752,68756,6614,53196,21756,1452,48413,17699,41281,1559,1645,50507,14830,4392,21212,5667,186760,31953,15514,6500,28143,7090,6591,5397,64203,11990,378,3252,77057,9079,41491,53922,67054,7514,10454,62289,14148,12149,17252,18288,5040,11241,2112,67670,934,66576,2852,65890,918,3382,41553,6331,279,70036,40670,1008,9904,18550,34422,1925,5643,79475,72237,57916,27903,9
"10",4860,60127,9609,35704,8865,58282,18479,12719,23611,6208,1293,25034,3173,15730,24212,47173,16717,2924,13918,635,28946,14344,8114,24574,7138,50783,63302,1951,5633,2858,489,28085,8418,2524,24501,35604,3503,11437,23352,69290,3735,55172,745,64036,20602,4387,1347,10154,60813,4061,53199,13247,8273,51590,1302,1745,22987,6654,8175,15119,3958,26070,50927,17676,4197,21448,67238,31097,5203,2999,4691,23923,11073,12919,7907,2486,16793,600,13982,4697,15850,5190,20085,1190,1610,3839,20432,4010,7505,4197,59055,4868,1661,66065,6490,51573,20883,1416,46462,17224,39210,1506,1597,48357,14345,4013,20461,5585,157016,30489,14955,5968,26593,6955,6454,5222,60965,11338,366,3037,75029,8850,40458,52194,63466,7314,10164,59961,13523,11654,16302,16333,4866,10749,2044,65227,875,63683,2676,63545,814,3222,40167,5741,259,67751,38746,970,9491,17813,33305,1819,5046,76903,68979,55238,26470,10
